Dish,Ingredients,Time,Tips,Recipe
Pancakes,Flour; Milk; Egg; Sugar; Baking Powder,20,Use fresh milk for fluffiness,"1. Mix flour, sugar, and baking powder in a bowl. 2. Add milk and egg, whisk until smooth. 3. Heat a pan and pour batter to form pancakes. 4. Cook until golden brown on both sides."
Omelette,Egg; Salt; Pepper; Butter,10,Cook on low heat,"1. Beat eggs with salt and pepper. 2. Heat butter in pan. 3. Pour eggs and cook until set. 4. Fold and serve."
Spaghetti Bolognese,Spaghetti; Minced Meat; Tomato; Onion; Garlic; Olive Oil,30,Simmer sauce for better flavor,"1. Cook spaghetti according to package. 2. Sauté onion and garlic. 3. Add minced meat and brown. 4. Add tomatoes and simmer 15 min. 5. Serve sauce over spaghetti."
Grilled Cheese Sandwich,Bread; Cheese; Butter,10,Toast until golden brown,"1. Butter bread slices. 2. Place cheese between slices. 3. Grill until cheese melts and bread is golden. 4. Serve hot."
Chicken Curry,Chicken; Onion; Tomato; Garlic; Ginger; Spices,40,Marinate chicken for 1 hour,"1. Marinate chicken with spices for 1 hour. 2. Sauté onions, garlic, ginger. 3. Add tomatoes and cook until soft. 4. Add chicken and simmer 25-30 min until done."
Biryani,Chicken; Rice; Yogurt; Spices; Onion; Saffron,60,Marinate meat and cook on low flame,"1. Marinate chicken with yogurt and spices for 1 hour. 2. Fry onions until golden. 3. Partially cook rice. 4. Layer chicken and rice, sprinkle saffron water. 5. Cook on low flame for 20-25 min."
Paneer Butter Masala,Paneer; Tomato; Butter; Cream; Spices,40,Use fresh paneer,"1. Sauté onions and tomatoes until soft. 2. Blend into smooth sauce. 3. Cook sauce with butter and spices. 4. Add paneer cubes, simmer 10 min."
Masala Dosa,Rice; Lentils; Potato; Onion; Spices,30,Fry dosa on non-stick pan,"1. Soak rice and lentils overnight. 2. Grind to smooth batter. 3. Prepare spiced potato filling. 4. Pour batter on pan, cook thin dosa. 5. Place filling, fold, and serve."
Dal Tadka,Lentils; Onion; Tomato; Spices; Ghee,30,Tempering adds flavor,"1. Boil lentils until soft. 2. Sauté onions, tomatoes, spices in ghee. 3. Pour tempering over dal. 4. Simmer 5 min and serve."
Chole (Chickpea Curry),Chickpeas; Onion; Tomato; Spices; Garlic; Ginger,50,Soak chickpeas overnight,"1. Soak chickpeas overnight. 2. Boil until soft. 3. Sauté onions, garlic, ginger, and spices. 4. Add chickpeas, simmer 15-20 min. 5. Serve hot."
